ID,traded_currencies,percentage_of_market,source,price
BTER - Darkcoin / Chinese Yuan,"Darkcoin, Chinese Yuan",0.16%,BTER,2.19
Cryptsy - Darkcoin / Litecoin,"Darkcoin, Litecoin",0.16%,Cryptsy,2.14
Bitfinex - Darkcoin / US Dollar,"Darkcoin, US Dollar",0.16%,Bitfinex,2.15
BTER - Datacoin / Chinese Yuan,"Datacoin, Chinese Yuan",0.00%,BTER,0.02
Cryptsy - Diamond / Bitcoin,"Diamond, Bitcoin",0.01%,Cryptsy,0.19
useCryptos - Diamond / Bitcoin,"Diamond, Bitcoin",0.01%,useCryptos,0.19
Vault of Satoshi - Digitalcoin / Canadian Dollars,"Digitalcoin, Canadian Dollars",0.00%,Vault of Satoshi,0.08
BTER - Digitalcoin / Chinese Yuan,"Digitalcoin, Chinese Yuan",0.00%,BTER,0.14
C-CEX - DigitalPrice / Bitcoin,"DigitalPrice, Bitcoin",0.00%,C-CEX,0.04
Atomic Trade - Dirac / Bitcoin,"Dirac, Bitcoin",0.00%,Atomic Trade,0.12
Bittrex - Dirac / Bitcoin,"Dirac, Bitcoin",0.00%,Bittrex,0.13
Bittrex - Dirac / BlackCoin,"Dirac, BlackCoin",0.00%,Bittrex,0.14
Poloniex - Dogeparty / Bitcoin,"Dogeparty, Bitcoin",0.00%,Poloniex,0.1
Coins-E - Elacoin / Bitcoin,"Elacoin, Bitcoin",0.00%,Coins-E,0.03
Cryptsy - Elacoin / Bitcoin,"Elacoin, Bitcoin",0.00%,Cryptsy,0.02
Bittrex - Ethercoin / Bitcoin,"Ethercoin, Bitcoin",0.01%,Bittrex,0.71
Atomic Trade - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,Atomic Trade,0.31
BTC-E - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,BTC-E,0.03
BTER - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,BTER,0.04
Cryptsy - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,Cryptsy,0.03
NIX-E - Feathercoin / Bitcoin,"Feathercoin, Bitcoin",0.04%,NIX-E,0.02
Bittylicious - Feathercoin / British Pound,"Feathercoin, British Pound",0.04%,Bittylicious,0.04
Vault of Satoshi - Feathercoin / Canadian Dollars,"Feathercoin, Canadian Dollars",0.04%,Vault of Satoshi,0.03
BTER - Feathercoin / Chinese Yuan,"Feathercoin, Chinese Yuan",0.04%,BTER,0.03
Cryptsy - Feathercoin / Litecoin,"Feathercoin, Litecoin",0.04%,Cryptsy,0.03
Cryptsy - Feathercoin / US Dollar,"Feathercoin, US Dollar",0.04%,Cryptsy,0.03
Bittrex - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Bittrex,0.3
Coinbroker - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Coinbroker,0.04
Cryptsy - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Cryptsy,0.31
Poloniex - Fibre / Bitcoin,"Fibre, Bitcoin",0.01%,Poloniex,0.29
AllCoin - Firecoin / Bitcoin,"Firecoin, Bitcoin",0.00%,AllCoin,0.05
Bittrex - Firecoin / Bitcoin,"Firecoin, Bitcoin",0.00%,Bittrex,0.02
Coins-E - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Coins-E,0.04
Cryptex - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Cryptex,0.05
Cryptsy - Franko / Bitcoin,"Franko, Bitcoin",0.00%,Cryptsy,0.04
Cryptsy - Franko / Litecoin,"Franko, Litecoin",0.00%,Cryptsy,0.05
BTER - FreeMarket / Bitcoin,"FreeMarket, Bitcoin",0.03%,BTER,1.05
Nxt Asset Exchange - FreeMarket / Nxt,"FreeMarket, Nxt",0.03%,Nxt Asset Exchange,0.85
Bittrex - GamerholicCoin / Bitcoin,"GamerholicCoin, Bitcoin",0.00%,Bittrex,0.03
Coins-E - Glyph / Bitcoin,"Glyph, Bitcoin",0.00%,Coins-E,0.04
Bittrex - Halcyon / Bitcoin,"Halcyon, Bitcoin",0.00%,Bittrex,0.02
Cryptsy - Halcyon / Bitcoin,"Halcyon, Bitcoin",0.00%,Cryptsy,0.02
Cryptsy - Halcyon / Ripple,"Halcyon, Ripple",0.00%,Cryptsy,0.03
Cryptsy - HoboNickels / Bitcoin,"HoboNickels, Bitcoin",0.00%,Cryptsy,0.03
Cryptsy - HoboNickels / Ripple,"HoboNickels, Ripple",0.00%,Cryptsy,0.03
Nxt Asset Exchange - HRNXTPool / Nxt,"HRNXTPool, Nxt",0.00%,Nxt Asset Exchange,1.62
Bittrex - Hyper / Bitcoin,"Hyper, Bitcoin",0.00%,Bittrex,0.07
AllCoin - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,AllCoin,0.02
Ask Coin - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Ask Coin,0.02
BX Thailand - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,BX Thailand,0.03
Coin-Swap - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Coin-Swap,0.02
Poloniex - HyperStake / Bitcoin,"HyperStake, Bitcoin",0.02%,Poloniex,0.02
Poloniex - HyperStake / Monero,"HyperStake, Monero",0.02%,Poloniex,0.02
Bittrex - InkWayCoin / Bitcoin,"InkWayCoin, Bitcoin",0.00%,Bittrex,0.14
Nxt Asset Exchange - InstantDEX / Nxt,"InstantDEX, Nxt",0.00%,Nxt Asset Exchange,0.74
Coin-Swap - IOCoin / Bitcoin,"IOCoin, Bitcoin",0.01%,Coin-Swap,0.02
CEX.IO - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,CEX.IO,0.04
Cryptsy - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,Cryptsy,0.04
SwissCEX - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,SwissCEX,0.03
Vircurex - Ixcoin / Bitcoin,"Ixcoin, Bitcoin",0.07%,Vircurex,0.05
Cryptsy - Ixcoin / Ripple,"Ixcoin, Ripple",0.07%,Cryptsy,0.04
Nxt Asset Exchange - Jinn / Nxt,"Jinn, Nxt",0.00%,Nxt Asset Exchange,6.45
Poloniex - jl777hodl / Bitcoin,"jl777hodl, Bitcoin",0.00%,Poloniex,0.07
Nxt Asset Exchange - jl777hodl / Nxt,"jl777hodl, Nxt",0.00%,Nxt Asset Exchange,0.06
SwissCEX - KashmirCoin / Bitcoin,"KashmirCoin, Bitcoin",0.00%,SwissCEX,13.37
Bittrex - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Bittrex,0.03
Cryptsy - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Cryptsy,0.03
Poloniex - KeyCoin / Bitcoin,"KeyCoin, Bitcoin",0.00%,Poloniex,0.03
Ask Coin - KoreCoin / Bitcoin,"KoreCoin, Bitcoin",0.01%,Ask Coin,0.11
Bittrex - KoreCoin / Bitcoin,"KoreCoin, Bitcoin",0.01%,Bittrex,0.09
Coin-Swap - Latium / Bitcoin,"Latium, Bitcoin",0.00%,Coin-Swap,0.02
AllCoin - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,AllCoin,0.08
Bittrex - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,Bittrex,0.08
Bleutrade - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,Bleutrade,0.08
C-CEX - LemurCoin / Bitcoin,"LemurCoin, Bitcoin",0.00%,C-CEX,0.08
Bleutrade - LemurCoin / Dogecoin,"LemurCoin, Dogecoin",0.00%,Bleutrade,0.13
Bittrex - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Bittrex,0.04
Coin-Swap - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Coin-Swap,0.02
Cryptsy - Librexcoin / Bitcoin,"Librexcoin, Bitcoin",0.00%,Cryptsy,0.04
