id,name,mining_status,preminable,symbol,market_capitalization,price,available_suppy,volume_17_oct_14
162,PlutoniumCoin,Not_minable,,RODS,$683,$0.01,52516,$13
164,Qibuck,Not_minable,,QBK,"$70,901",$0.14,503842,"$1,082"
165,SonicScrewdriver,Not_minable,,SSD,"$133,187",$0.01,21413349,"$3,791"
166,BitSharesX,Not_minable,,BTSX,"$52,676,332",$0.03,1999883512,"$286,116"
167,Mastercoin,Not_minable,,MSC,"$2,101,169",$3.73,563162,"$1,679"
169,Halcyon,Not_minable,,HAL,"$25,912",$0.02,1624619,$790
173,NuBits,Not_minable,,NBT,"$6,345,269",$1.01,6280455,"$693,341"
175,Nxt,Not_minable,,NXT,"$23,414,032",$0.02,999997096,"$30,981"
177,Aerocoin,Not_minable,,AERO,"$74,681",$0.01,7109983,$30
178,MaryJane,Not_minable,,MARYJ,"$152,883",$0.01,15316019,"$155,968"
179,BitSwift,Not_minable,,SWIFT,"$556,695",$0.14,4001002,"$24,056"
180,VaultCoin,Not_minable,,VAULT,"$5,166",$3.44,1501,$17
182,Sync,Not_minable,,SYNC,"$262,335",$225.28,1164,"$1,105"
184,Umbrella-LTC,Not_minable,,ULTC,"$58,091",$0.18,330260,"$1,998"
186,BanxShares,Not_minable,,BANX,"$2,175,790",$0.84,2586882,"$1,174"
189,ApexCoin,Not_minable,,APEX,"$35,010",$0.01,6088386,"$4,045"
